Gene Symbol;CMVnull_1;CMVnull_2;CMVnull_3;CMVnull_4;CMVnull_5;GATA6_1;GATA6_2;GATA6_3;GATA6_4;GATA6_5;GATA6_6;GATA6_7
OTTHUMG00000154838  // AC093850.2 ;8.378034;8.23787;8.278703;8.2925;8.421424;7.099177;6.706822;6.918065;7.032989;6.668127;7.998516;6.473514
GABBR2 ;8.358694;8.323414;8.445214;8.563704;8.323726;7.01063;7.143261;7.374279;7.024126;7.120495;8.515462;7.03724
GDF6 ;6.64283;6.933968;6.715972;6.907217;6.752606;4.998792;5.300641;5.573698;5.246305;5.503024;6.935858;5.704632
EDN1 ;9.706231;9.904799;9.978455;9.977137;9.829565;8.660183;8.640064;8.759281;8.641163;8.434011;10.1504;8.338687
DAW1 ;7.265544;7.3131;7.320842;7.317056;7.104881;6.170896;5.855087;6.18039;5.960917;5.884214;7.439908;5.931852
OLAH ;5.069519;5.200692;4.934947;4.860794;4.829034;3.51577;2.983937;3.506905;3.632065;3.945021;4.984024;3.503297
FIBIN ;9.52718;9.686584;9.687869;9.700809;9.639118;8.447953;8.342915;8.635276;8.363135;8.233762;9.589421;8.371141
GREM1 ;11.90962;12.08148;12.06664;12.04418;12.04976;10.91513;10.97185;10.85553;10.84667;10.84514;12.04997;10.7393
IL6 ;9.699502;9.831301;9.730959;10.0236;9.59107;8.456817;8.454892;8.7887;8.538313;8.320938;10.07396;8.607516
NOX4 ;7.741517;7.930215;7.963514;8.003241;7.853866;6.841256;6.778516;6.774582;6.744551;6.751952;7.965611;6.698968
SPDL1 ;7.605855;7.606731;7.65753;7.623316;7.540905;6.579469;6.554639;6.556787;6.463321;6.433792;7.614002;6.433582
VIPR1 ;8.116598;8.2473;8.361749;8.139648;8.144308;7.152179;7.19208;6.865446;7.08655;6.957196;8.41578;6.901378
PLAU ;7.460755;7.466275;7.682927;7.657924;7.545865;6.580485;6.369324;5.908062;6.496679;6.202941;7.734018;6.282438
LCP1 ;7.680533;7.563251;7.894197;7.886875;7.462722;6.3231;6.400578;6.565733;6.245182;6.491696;7.640617;6.631087
CENPN ;8.711053;8.901829;8.999572;8.860193;8.697143;7.703918;7.602301;7.889892;7.488198;7.678574;8.892673;7.474854
TRPC4 ;5.457746;5.718279;5.605337;5.579395;5.505444;4.521497;4.538024;4.460422;4.378168;4.503167;5.640159;4.242994
VGLL3 ;7.697981;7.928714;7.868983;7.752728;7.688934;6.720523;6.699921;6.712554;6.709329;6.483627;7.780479;6.340982
ARSJ ;9.043221;9.107594;9.127939;9.096862;8.897707;8.082711;7.925339;8.054096;7.864706;7.814284;9.117544;7.562441
ANGPT2 ;6.526601;6.428398;7.163201;6.760001;6.509253;5.257755;5.33125;5.555178;5.031119;5.693305;6.655028;5.182445
XYLT1 ;8.144171;8.129938;8.317241;8.361542;8.055822;7.136333;7.113709;7.115376;6.962568;7.217617;8.374239;6.790094
MAMDC2 ;6.965521;6.943274;6.943404;6.529416;6.911961;5.680472;5.874564;5.762303;5.564469;5.713385;6.930336;5.711298
TGM2 ;10.0639;10.07728;10.09898;10.03805;10.07773;9.112082;8.970061;9.1765;8.859175;8.899929;10.05604;8.815185
TRIM55 ;4.760485;4.42238;5.188685;5.077738;4.498727;3.32097;3.101639;3.45731;3.808846;3.50691;4.755681;3.560188
C15orf54 ;6.449321;6.80664;6.642562;6.548935;6.433674;5.759185;5.601324;4.686707;5.058161;4.779805;6.411799;5.029541
CTPS1 ;8.848255;8.728134;8.908031;8.930292;8.67383;7.811924;7.671984;7.848114;7.806102;7.601651;8.918002;7.744298
OTTHUMG00000037425  // RP11-400N13.3 ;7.046395;6.789069;6.942093;6.999151;6.647541;5.796623;5.621411;5.573059;5.205324;5.928087;7.141976;5.904956
OTTHUMG00000165790  // RP11-264E20.1 ;6.24761;6.348628;6.004739;6.395586;5.330332;4.960692;4.598287;4.565497;4.872421;4.783922;6.329033;4.81835
TNC ;8.817513;8.911499;8.964818;8.988336;8.626229;7.626302;7.867684;7.681658;7.826511;7.933321;9.190603;7.712732
MSMO1 ;10.48923;10.49166;10.4466;10.45872;10.41626;9.516884;9.241481;9.542012;9.340763;9.417974;10.35227;9.287492
EVI2B ;4.572753;4.719788;5.01383;4.678658;4.634184;3.649945;3.471512;3.736729;3.351238;3.71509;4.756163;3.674245
LOC646999 ;4.680746;5.257834;4.857172;4.918889;4.43185;3.891404;3.643443;3.47652;3.49397;3.601262;4.973675;3.696717
MYLK ;6.423139;5.996497;6.124988;6.323535;6.492965;5.311492;4.934361;5.167982;4.988812;5.097599;6.037202;4.962279
FGF7 ;9.730504;9.793853;9.826898;9.902925;9.676261;8.808887;8.673742;8.982235;8.726748;8.388433;9.890034;8.645515
KBTBD8 ;7.006118;7.050066;7.073553;7.11988;6.694626;5.965952;5.909309;5.946381;5.51095;6.021765;6.873827;5.765327
LOC100506394 ;6.883052;6.895909;7.27441;6.974019;6.852509;6.178915;5.745942;6.088534;5.235657;5.452561;6.819361;5.247466
ALDH1B1 ;9.392694;9.229436;9.291508;9.207389;9.387773;8.394558;8.333049;8.340774;8.281025;8.37472;9.318541;8.253251
MEDAG ;9.491555;9.907782;9.91363;9.623314;9.67662;8.812841;8.709648;8.627372;8.676747;8.574389;9.798001;8.694517
SPHK1 ;9.794858;10.01645;9.870483;9.845117;9.814333;8.867392;8.923954;8.917795;8.968155;8.92696;9.895947;8.836044
MT1X ;9.373983;9.682392;9.660044;9.46334;9.52;8.494897;8.620878;8.093153;8.378304;8.670102;9.491684;8.463588
CPED1 ;6.990836;6.985105;7.15859;6.91242;6.953695;6.191015;5.985649;6.185406;5.905253;5.83239;7.231738;5.794668
PCDH9 ;6.64324;6.328968;6.472359;6.513382;6.24093;5.652036;5.140736;5.539077;5.054897;5.271777;6.588114;5.444591
RPSAP52 ;5.832987;6.031111;6.414739;6.187058;6.084753;5.252172;5.303591;4.376153;5.11305;4.339643;6.203587;4.620809
ANKRD28 ;7.886486;7.933249;7.969585;7.950696;7.775824;7.063737;6.966477;6.978706;6.986994;6.89774;8.006268;6.739777
LOC645638 ;5.565357;5.51208;5.375414;5.761713;5.574023;4.443226;4.705217;4.106;4.622034;4.76843;5.80174;4.140356
BMP2 ;8.131644;8.671371;8.634283;8.58854;8.187255;7.40531;7.428755;7.568364;7.080127;7.451818;8.685977;7.298465
HAPLN1 ;8.515255;8.538769;8.659445;8.637231;8.468167;7.45787;7.608417;7.90376;7.358663;7.519199;8.612996;7.359088
CHMP1B ;10.28274;10.45307;10.41383;10.38822;10.26979;9.377608;9.418175;9.577658;9.341744;9.416908;10.33345;9.358491
MME-AS1 ;6.29229;5.057187;5.776164;5.903877;5.458224;4.995197;4.218165;4.222477;4.663098;4.332343;5.931991;4.200552
KYNU ;4.408442;4.631761;4.894835;4.541984;4.266597;3.183644;3.649926;3.517733;3.389369;3.369555;4.400764;3.577645
RCAN1 ;5.969842;5.44911;5.75711;6.162855;5.843654;4.948306;4.841912;4.672982;4.871675;4.841448;6.143906;4.559818
IL7R ;5.817945;5.802042;5.876548;5.990978;5.583803;4.53429;4.75083;5.030678;4.440095;4.997887;5.812333;4.701378
FZD8 ;8.434307;8.705114;8.552324;8.587117;8.593555;7.604825;7.756293;7.57959;7.750098;7.536429;8.606232;7.528888
LOC100507516 ;6.891652;7.051383;6.684669;6.980008;7.170198;6.175369;6.042654;5.954105;5.821223;5.895026;7.101732;5.92486
CBLB ;9.90868;9.879217;10.03405;9.917794;9.832064;9.055038;9.062615;9.06138;9.028332;9.015702;9.96936;8.865295
NR4A3 ;6.61417;6.839036;6.623195;6.381582;6.779432;5.532853;5.413549;5.873245;5.362649;5.792331;6.528163;5.543736
ELTD1 ;11.08099;11.05974;11.14538;11.18394;10.89484;10.10758;10.11151;10.33758;10.10684;10.09501;11.22861;10.1719
DUSP1 ;10.11911;10.0436;9.973408;10.24936;9.988535;9.279195;9.236116;8.923999;9.289102;8.989583;10.28411;8.786946
DHCR24 ;9.248253;9.144392;9.090112;8.955638;9.210292;8.350565;8.153869;7.967182;7.977589;8.301419;8.999552;7.895043
CCL8 ;5.731162;5.659071;6.104209;6.17773;5.438724;4.912077;4.700706;4.765085;4.193305;4.341115;5.683299;4.930013
LINC00312 ;4.355302;4.472008;4.199748;4.477888;4.410931;3.586264;3.285089;2.682026;3.202984;2.41341;4.139616;3.550483
USP54 ;7.345781;7.433501;7.313005;7.623109;7.317013;6.466961;6.414987;6.545399;6.341024;6.681528;7.555291;6.414795
NEGR1 ;7.070118;7.096176;7.563251;7.290945;7.212905;5.894132;6.276333;6.368084;5.959418;6.518234;7.246762;6.229203
EPB41L3 ;9.910297;10.12067;10.0851;10.05708;9.833409;9.090281;9.199902;9.185965;9.097349;9.083887;10.09932;8.886738
INHBA ;8.902712;9.029409;9.098443;9.087423;8.85754;7.9613;8.042059;8.429729;7.893686;7.902833;9.158599;8.012176
PDE3A ;8.304459;8.353087;8.533302;8.303771;8.155659;7.518324;7.360641;7.481901;7.402863;7.523344;8.429384;7.283875
SGIP1 ;6.553437;6.622987;6.574582;6.405647;6.413599;5.489167;5.535533;5.916074;5.471083;5.571565;6.508861;5.311017
GRAMD1B ;8.216526;8.25746;8.264668;8.506761;8.161803;7.282653;7.412498;7.581558;7.313849;7.293493;8.265264;7.226306
LDLR ;8.8865;8.921264;8.962578;8.866962;8.918385;8.178564;8.076379;7.868361;7.94901;8.146056;8.936625;7.865681
LPXN ;7.68714;8.020394;8.199631;8.016667;7.415677;6.98715;6.884264;7.016057;6.670809;6.730528;7.913148;6.742418
ECSCR ;7.558476;7.385522;7.519568;7.584833;7.506285;6.695907;6.709756;6.462267;6.458303;6.543944;7.276618;6.205795
CHSY3 ;6.689628;6.808771;6.626348;6.636141;6.559859;5.807061;5.574367;5.771173;5.574069;5.96877;6.671846;5.770434
HBEGF ;7.992917;8.186426;8.074449;8.154832;7.735674;7.094027;7.222273;7.109483;6.877445;7.098204;8.379903;7.260987
ADAM19 ;9.889601;9.92588;9.981311;10.029;9.854191;9.088274;9.025394;9.077034;9.122215;9.18534;9.924047;9.047728
STK38L ;8.833456;8.794779;8.898907;8.911699;8.759986;7.783698;7.718146;8.301887;7.773685;7.735222;8.780873;7.925722
ATP8B1 ;9.71009;9.540083;9.73464;9.696287;9.494786;8.74938;8.789198;8.938408;8.753894;8.748719;9.754627;8.529242
MME ;11.05393;11.0709;11.15927;10.98902;10.98764;10.34833;10.26574;9.987835;10.148;10.24049;11.09527;9.95782
TMEM158 ;9.127689;9.417645;9.368045;9.365725;9.12589;8.336967;8.483586;8.338429;8.536853;8.444903;9.553255;8.301259
PLSCR4 ;9.388238;9.460638;9.470912;9.368121;9.296071;8.613447;8.562216;8.67323;8.490047;8.503064;9.39263;8.385322
CDH8 ;5.869699;5.743371;6.154358;5.815257;5.560643;4.427913;4.803594;4.944823;5.010066;4.825793;5.590168;4.793812
C5orf46 ;7.896532;7.788956;7.954919;8.091812;7.841953;7.292754;6.967162;7.259538;6.593793;6.792889;8.070951;6.780094
ACAT2 ;7.814182;7.389355;7.630391;7.780367;7.45106;6.771335;6.845107;6.674301;6.638554;6.720251;7.576925;6.3785
CD274 ;7.912812;7.893568;8.036535;7.955651;7.701993;7.162302;7.116831;6.771157;7.035323;7.110166;8.04459;6.932339
SIRPB1 ;5.254691;5.337964;5.781154;5.80954;5.268153;4.609498;4.428024;4.410172;4.21911;4.630039;5.592535;4.755785
CXCR7 ;6.280238;6.369279;6.041918;6.115909;6.182267;5.502022;5.400851;5.141448;5.415587;5.296674;6.410486;4.843715
ITPRIP ;7.728317;7.867979;7.822902;7.589609;7.675171;6.834105;6.964993;6.814324;6.82191;7.052361;7.729597;6.760756
PCDH18 ;8.972289;9.007027;9.153279;9.060781;9.085386;8.262854;8.239012;8.361282;8.159375;8.092628;8.984068;8.062898
CDCP1 ;10.63966;10.92306;10.98823;10.90234;10.60334;9.883522;10.12023;9.845854;9.937746;9.966626;11.05589;9.934139
PDPN ;8.561551;8.838583;8.809074;8.767536;8.621362;7.802314;7.847885;8.120134;7.817797;7.806688;8.763142;7.650026
DHCR7 ;8.011103;7.877523;7.836361;7.905403;8.032556;7.203022;7.071084;6.828957;6.903686;7.17337;7.766449;6.984447
LIF ;7.988095;8.553525;8.51001;8.249891;7.994931;7.484221;7.352068;7.200701;7.27864;7.463291;8.717129;7.328079
UCK2 ;6.687264;6.879961;6.730503;6.870418;6.625615;6.005087;5.960797;5.940709;5.821038;5.972819;6.79253;5.900308
CMC2 ;9.819809;9.849982;9.963645;10.02168;9.692325;9.105888;9.086019;9.098935;8.965061;8.95502;9.913851;9.009706
LINC00473 ;5.666329;5.45502;5.563227;5.576293;5.556268;4.513244;4.549032;5.043803;4.282464;4.875551;5.74931;4.585616
H19 ;7.037391;7.429259;7.237231;6.954593;7.305424;6.226388;6.127011;6.45544;6.518115;6.006971;7.169694;6.240466
MOCOS ;8.142114;8.172231;8.290599;8.188642;8.276233;7.488847;7.53788;7.4096;7.317173;7.424848;8.3774;7.292726
PPP1R3B ;7.573561;7.619937;7.594036;7.365034;7.514781;6.793142;6.736262;6.756848;6.686717;6.691428;7.500254;6.517822
PDE1C ;5.455713;5.224575;5.315605;5.144541;5.259108;4.505482;4.509011;4.167181;3.772495;4.269472;5.166543;4.551345
NR4A2 ;6.999248;6.907204;6.847468;6.343641;6.679345;5.538798;5.671083;5.89993;5.791888;5.765861;6.342262;5.722411
OTTHUMG00000154787  // AC007879.7 ;6.375771;6.643183;6.661318;6.994012;6.242424;5.771447;5.902395;5.868094;5.478084;5.426896;6.868008;5.377657
PDCD1LG2 ;9.80817;9.791277;9.847165;9.924258;9.751571;9.107332;9.166227;9.017473;9.043926;8.814617;9.897688;8.944067
ELL2 ;9.833923;9.988437;9.969272;9.943584;9.850101;9.234241;9.090112;9.218678;9.105203;9.060174;9.909506;8.976705
GAS6 ;9.076879;8.995045;8.947279;8.956463;9.016001;8.379298;8.264256;7.700392;8.157595;8.086931;8.904988;7.898982
LINC00601 ;5.174535;5.06367;5.36895;5.321117;4.922169;4.008507;4.479795;4.271653;3.980525;4.265208;4.833744;4.161154
SLC39A6 ;10.50138;10.66542;10.85739;10.66165;10.46154;9.743511;9.682706;10.13628;9.647479;9.71417;10.76378;9.688281
CLEC2B ;5.653558;5.999846;6.245121;5.957333;5.716655;5.001828;5.00933;5.28714;4.98875;4.944189;6.097801;5.065064
CSF3 ;8.885234;9.396194;9.247793;9.386827;8.648144;7.870188;8.272955;8.293098;8.30862;7.947403;9.797869;8.417265
FAM87B ;7.093308;7.019111;7.141446;7.255835;7.262558;6.287008;6.249077;6.609711;6.424221;6.240123;7.234728;5.988588
FAM126A ;9.332043;9.450883;9.329646;9.315655;9.15901;8.650622;8.500189;8.676173;8.43921;8.484051;9.373034;8.300008
KCNK2 ;7.787274;7.70237;7.845416;7.706555;7.71964;7.175108;6.990535;6.993869;6.998575;6.705785;7.803342;6.722149
CLGN ;5.976776;6.191667;6.02003;6.146957;5.909484;5.076722;4.885723;5.487882;5.235316;5.441018;6.11195;4.774002
IDI1 ;7.55947;7.409918;7.414084;7.357912;7.421555;6.765635;6.318257;6.667424;6.658172;6.736708;7.331681;6.442781
ARHGEF28 ;7.442279;7.37229;7.37763;7.444439;7.258579;6.760653;6.65673;6.746627;6.563492;6.451858;7.428748;6.438854
SPRY1 ;6.560814;6.701627;6.443576;6.406629;6.541042;5.858074;5.870265;5.837323;5.731586;5.742402;6.718303;5.613853
ANKRD1 ;7.297593;7.158267;7.480784;7.394839;7.156934;6.579922;6.324117;6.589307;6.137846;6.266927;6.953549;6.423535
SNTB1 ;7.279229;7.14735;7.197819;7.166056;7.083923;6.403683;6.482085;6.421061;6.508977;6.505239;7.2924;6.130514
FAM129B ;10.12084;10.31319;10.17633;10.11236;10.2745;9.536819;9.538797;9.174189;9.422856;9.528215;10.2533;9.32779
CCRL1 ;5.396621;5.211633;5.102933;5.313091;4.91654;4.188257;4.368194;3.826461;4.125222;4.285446;4.608451;4.309078
CCIN ;5.90583;5.634557;5.835507;5.927284;5.600737;4.813082;5.20482;4.991317;5.007621;4.915446;5.775942;4.959893
INSIG1 ;8.194528;8.339412;8.165586;8.167231;8.250254;7.532822;7.137557;7.653053;7.364062;7.36316;8.030602;7.199526
ZNF185 ;8.153818;8.284532;8.316832;8.227112;8.340258;7.67026;7.586387;7.389956;7.49074;7.628637;8.470889;7.353193
HPD ;5.478401;5.475992;5.58338;5.602501;5.466634;4.358858;4.327924;5.049478;4.679089;4.367958;5.526989;5.018753
HMGA2 ;6.666052;6.560457;6.755508;6.884524;6.537212;5.9149;5.880281;5.986695;5.953131;5.956954;6.847571;5.988585
ITGBL1 ;9.342052;9.224018;9.084713;9.138588;9.283178;8.477482;8.275457;8.713701;8.36122;8.344617;9.112398;8.255562
TDO2 ;4.125366;4.818255;4.875167;4.701907;4.26737;3.959124;3.578786;3.723054;3.714143;3.497486;4.396929;3.114319
SIRPA ;9.940162;10.08198;10.02494;9.933448;9.89755;9.222678;9.29509;9.362124;9.300857;9.308969;10.10576;9.16074
OTTHUMG00000164047  // CTA-392C11.1 ;5.279862;5.07816;5.398136;5.228281;4.825969;4.502927;4.290829;4.177421;4.159077;4.077476;4.743129;4.276562
CXCL5 ;10.29629;10.70709;10.66609;10.6118;10.22781;9.607301;9.819066;9.923627;9.719401;9.707989;10.68186;9.514297
SRPX2 ;9.334298;9.483219;9.526972;9.499745;9.318994;8.643694;8.794856;8.756067;8.63053;8.759305;9.478651;8.742627
F2RL1 ;7.757938;8.139216;8.151956;8.070069;7.719371;7.206103;7.340807;7.279735;6.999337;7.346183;8.197711;6.856326
CDK2 ;8.539742;8.682443;8.806288;8.761982;8.686749;8.091578;7.985716;8.083302;7.876232;7.907076;8.8486;7.981985
HIST1H4L ;8.38747;8.212678;8.151894;8.162571;8.141337;7.560168;7.596277;7.221203;7.404096;7.404096;8.361516;7.644477
CTGF ;12.66288;12.63146;12.60436;12.59515;12.64259;11.97409;11.99665;11.66539;11.93607;11.9527;12.63551;11.93632
CCDC170 ;5.736087;6.051202;6.079739;5.75387;6.085853;5.103359;5.28411;5.373841;5.347065;4.944495;6.208115;4.995864
SVEP1 ;5.967484;6.187599;6.16192;6.127481;5.884159;5.2696;5.458272;5.319424;5.350597;5.380542;6.035861;5.117223
ECSCR ;6.555579;6.138675;6.247636;6.042339;5.641607;5.718711;5.142463;4.969254;4.844912;4.900976;6.375963;5.67633
LIMS3 ;9.850028;10.10416;10.11003;10.01819;9.851213;9.33767;9.223456;9.397484;9.212214;9.24174;10.00577;9.165256
LOC646329 ;7.133219;7.108718;7.239351;7.256489;6.741078;6.406584;6.319483;6.540177;6.279061;6.317292;7.423872;6.292708
LOXL3 ;8.160529;8.20365;8.148608;7.99725;8.143885;7.47247;7.518938;7.114423;7.327781;7.40645;7.947704;7.308329
EPDR1 ;5.77555;5.844027;6.150375;5.795599;6.087821;5.27935;5.191983;5.10327;5.095442;4.928968;5.748791;5.259376
SFRP4 ;5.581408;5.855762;5.896142;5.517494;5.516616;4.995451;4.837101;4.62415;4.889594;4.910301;5.35262;4.823817
NKAIN1 ;5.444991;5.673875;5.667264;5.458705;5.136169;4.412905;4.736413;4.904288;4.601421;4.869637;5.495181;4.644293
SMOC1 ;5.56743;5.993878;5.768067;5.720583;5.805354;4.890993;5.079349;4.596139;5.044798;5.366059;5.890675;4.990847
HMGCS1 ;7.531576;7.455344;7.500505;7.430799;7.457485;6.908012;6.579604;7.133724;6.537687;6.69267;7.623846;6.480753
ZNF281 ;9.27958;9.461542;9.473325;9.340287;9.315555;8.681511;8.660573;8.841114;8.494765;8.720599;9.322209;8.554919
NOG ;7.790403;7.561305;7.849174;7.678523;7.74189;6.930412;7.144034;7.321298;6.847085;6.985563;7.957561;6.658665
DUSP5 ;6.709478;7.036278;7.164861;6.844543;7.08191;6.255743;6.271243;6.16165;6.235574;6.431137;7.044534;6.118123
PVR ;9.390881;9.49299;9.54793;9.390711;9.419038;8.748123;8.91836;8.656062;8.587873;8.882124;9.44858;8.729273
DOCK10 ;9.14057;9.071305;9.125519;9.083217;8.874393;8.391983;8.326881;8.585109;8.247643;8.286755;9.181972;8.404822
ARMCX2 ;6.233284;6.516392;6.410476;6.672571;6.302298;5.85685;5.626751;5.930597;5.469037;5.724805;6.550963;5.551637
ERMN ;4.402241;4.108322;4.167138;4.38557;4.112068;3.462963;3.83425;3.459346;3.493806;3.472474;4.601024;3.523167
PPAPDC1A ;7.366138;7.414664;7.597626;7.604835;7.129248;6.604365;6.700494;6.667881;6.429467;6.815319;7.455787;6.864974
TRNAI6 ;8.238696;7.916311;8.115265;8.392415;8.01757;7.547396;7.620391;6.937255;7.007308;7.393966;8.03834;7.393431
AVEN ;8.111187;8.075116;8.150723;8.213218;7.995531;7.521646;7.377429;7.468249;7.391274;7.423445;8.00597;7.401683
FGF1 ;4.956539;4.981819;4.88612;5.107882;5.003666;4.15851;4.436177;4.211704;4.267913;4.335989;4.996953;4.438005
RGS2 ;7.250387;7.412328;7.509661;7.447024;7.231665;6.849586;6.576509;6.562252;6.724859;6.743841;7.386721;6.632611
SCN3A ;6.66051;6.439229;6.4367;6.478143;6.631187;5.860319;6.029562;5.267775;5.27285;5.26467;5.964987;5.794344
TMEM237 ;7.755692;7.636516;7.636541;7.820498;7.675751;7.247498;7.078101;6.996719;6.942508;6.707791;7.670296;6.981116
HIST1H2AK ;7.708242;7.757739;7.923553;7.807693;7.695198;7.158171;6.811566;7.466919;6.95426;6.876062;7.682633;6.738058
TNFRSF11B ;6.479712;6.353547;6.492134;6.799922;6.7432;5.891838;5.962631;6.091611;5.73573;5.562828;6.512899;5.650081
GADD45B ;8.902942;9.204908;9.004992;8.987832;9.013081;8.389737;8.30302;8.388441;8.313898;8.356414;8.860537;8.150083
WNK4 ;8.218215;8.181591;8.005194;8.046319;8.036498;7.578218;7.620154;7.366095;7.457741;7.382299;8.462099;7.198923
NLRP10 ;4.829401;5.216657;5.093679;4.90515;4.892021;4.405113;3.931622;4.446501;4.228945;4.315925;5.012704;4.274925
NSDHL ;8.048797;8.041222;8.16008;8.243789;8.132337;7.682345;7.309937;7.309894;7.535697;7.436204;8.121417;7.389311
ZCCHC5 ;5.940198;5.664855;5.843007;5.549472;5.670698;4.887399;4.915197;5.043688;5.018607;5.322252;5.688021;4.913944
CYP51A1 ;9.577232;9.278013;9.388577;9.383655;9.29883;8.730991;8.624651;8.957902;8.612529;8.606577;9.295295;8.525648
OTTHUMG00000168899  // RP11-221N13.3 ;5.822743;5.72018;5.662282;5.889563;5.457305;5.068144;4.84385;5.464008;4.749451;5.041242;6.003292;4.727188
HNMT ;6.076568;6.27215;5.79917;6.211823;6.201948;5.52323;5.518209;5.518619;5.382133;5.343163;6.346368;5.405615
DKK1 ;8.226446;8.356844;8.448106;8.409451;8.18241;7.838128;7.634082;7.689568;7.654354;7.660903;8.427223;7.616934
SYNC ;7.732942;7.641819;7.604191;7.525127;7.604762;7.107228;6.954854;6.78202;6.926614;6.845359;7.477857;6.995158
DNAJB4 ;7.553512;7.70511;7.700825;7.656181;7.507881;6.921071;6.796346;7.254656;6.656453;6.923029;7.484994;6.821053
HMGCR ;8.598523;8.619513;8.735973;8.540111;8.722834;7.963601;8.091454;8.172268;7.803351;7.973321;8.601133;7.605343
PAG1 ;5.143951;5.810835;5.612817;5.20333;5.446652;4.610506;4.504723;4.874502;4.457946;4.622323;5.472987;5.025094
FAM180A ;8.015274;8.093003;8.257856;8.1656;7.971838;7.568149;7.412588;7.477391;7.532815;7.480867;8.229879;7.345918
BPGM ;8.682836;8.849388;8.890359;8.933953;8.749592;8.224298;8.145771;8.419102;8.04918;8.134943;9.014838;8.119681
MVD ;7.622351;7.593185;7.575128;7.583569;7.691651;7.016426;7.109074;6.838423;6.954376;7.017438;7.529881;6.615451
LIMS3 ;6.946424;7.181235;7.101423;7.075143;6.919409;6.335389;6.392449;6.524886;6.472829;6.446061;7.071496;6.345188
SCRG1 ;4.970254;4.841857;4.925541;4.958224;4.869881;4.364848;4.292973;4.334995;4.335632;4.373879;4.995348;4.230783
